Profile,Profile_followers,Likes,Date,Location,Location_coord,Post_url,Img_link
citiesmemory,512.0,1921.0,2021-12-10 08:45:14,想聚 Mr.jardeng,"(24.99397, 121.46229)",https://www.instagram.com/p/CXS8z4ZJaqB,https://instagram.ftpe7-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/241848880_297710775627695_9026026630362523176_n.jpg?_nc_ht=instagram.ftpe7-3.fna.fbcdn.net&_nc_cat=111&_nc_ohc=sMMs6COsn30AX-m1zSJ&tn=Ac-NvTz2T0OQJDKT&edm=AABBvjUBAAAA&ccb=7-4&oh=37003c9e518ab26c9123772089fd4c63&oe=61BD123C&_nc_sid=83d603
wenfa_su,181.0,251.0,2021-12-11 01:57:47,奇美博物館 Chimei Museum,"(22.9345736861, 120.225957764)",https://www.instagram.com/p/CXUy-gUPZ8a,https://instagram.ftpe7-1.fna.fbcdn.net/v/t51.2885-15/e35/266284233_210088691296302_8581045830293101735_n.jpg?_nc_ht=instagram.ftpe7-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=iY3nnh1Hpz0AX-EOZb6&edm=ABZsPhsBAAAA&ccb=7-4&oh=8663f82de01c350796c45189fb940f10&oe=61BD129D&_nc_sid=4efc9f&ig_cache_key=MjcyNjAyNzg3MjA5ODQyNjY1MA%3D%3D.2-ccb7-4
misshungvivi,1038.0,177.0,2021-12-07 05:23:54,信義區商圈,"(25.0373852903, 121.5668806983)",https://www.instagram.com/p/CXK3YqsFykC,https://instagram.ftpe7-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/264061717_227731632773660_5152692676310644838_n.jpg?_nc_ht=instagram.ftpe7-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=xBIHG3tJL6YAX9drLU3&tn=Ac-NvTz2T0OQJDKT&edm=AABBvjUBAAAA&ccb=7-4&oh=d8fff4dfed467e1d98f1f7c953dc222c&oe=61BD2A50&_nc_sid=83d603
misshungvivi,1038.0,132.0,2021-12-07 05:20:43,信義區商圈,"(25.0373852903, 121.5668806983)",https://www.instagram.com/p/CXK3BUGFt7J,https://instagram.ftpe7-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/264749670_2455688187897132_7838542266924016519_n.jpg?_nc_ht=instagram.ftpe7-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=9t2ev3G_oM8AX_UBmpQ&edm=AABBvjUBAAAA&ccb=7-4&oh=d4ee13be129967ee08734b5465a5e937&oe=61BD31AE&_nc_sid=83d603
jiying_tseng,847.0,3.0,2021-12-12 01:01:55,信義區商圈,"(25.0373852903, 121.5668806983)",https://www.instagram.com/p/CXXRYL_veGl,https://instagram.ftpe7-3.fna.fbcdn.net/v/t51.2885-15/e35/266010807_1050056562461462_1966768838591511959_n.jpg?_nc_ht=instagram.ftpe7-3.fna.fbcdn.net&_nc_cat=102&_nc_ohc=VBj4uzdH9rgAX9WNY9y&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT_1jnkl-Tx-j_cu6BNTu4VjIIJ5CPnmhR_M0IuWjCqNNA&oe=61BC21C4&_nc_sid=4efc9f&ig_cache_key=MjcyNjcyNDUyODMzNDgyMzg0NQ%3D%3D.2-ccb7-4
wafoo_japan,12.0,301.0,2021-12-09 14:29:36,万博エキスポシティ,"(34.8163888889, 135.5686111111)",https://www.instagram.com/p/CXQ_bPGvnSm,https://instagram.ftpe7-2.fna.fbcdn.net/v/t51.2885-15/e35/264842505_436749228141748_2353876997629280443_n.jpg?_nc_ht=instagram.ftpe7-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=S9zS19gr0jcAX8s17ah&edm=ABZsPhsBAAAA&ccb=7-4&oh=e588194ca0db059abe067455b88df9be&oe=61BC37FB&_nc_sid=4efc9f&ig_cache_key=MjcyNDk1NjcyMzEzNDQ5Mzg2Mg%3D%3D.2-ccb7-4
terra_beantobar,31.0,110.0,2021-12-10 12:42:24,TERRA 土然巧克力專門店,"(25.02573, 121.53366)",https://www.instagram.com/p/CXTX84RPoxZ,https://instagram.ftpe7-3.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/265391731_589427525458928_4647114897067904588_n.jpg?_nc_ht=instagram.ftpe7-3.fna.fbcdn.net&_nc_cat=108&_nc_ohc=ENF2EIb8WrgAX8x3cyI&edm=ABZsPhsBAAAA&ccb=7-4&oh=f36275ff4b9538639790b0ba2bb7a126&oe=61BB6D5E&_nc_sid=4efc9f&ig_cache_key=MjcyNTYyNzUzODE0NjQ5NTU3Nw%3D%3D.2-ccb7-4
borisnmatthew,5646.0,138.0,2021-12-06 03:01:34,Boris & Matthew,"(22.24943, 114.1685)",https://www.instagram.com/p/CXICTO-jX6s,https://instagram.ftpe7-4.fna.fbcdn.net/v/t51.2885-15/e35/263718608_4914534781903771_4078172267714660518_n.jpg?_nc_ht=instagram.ftpe7-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=eeWf-0P_qS8AX_Yvp_9&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT_H5eHuUOyO4uwdACa6bAMGJeiAptAYgCGJokd5JcrfDQ&oe=61BB60EE&_nc_sid=4efc9f&ig_cache_key=MjcyMjQzNjA5MjU5MDM5MDk1Ng%3D%3D.2-ccb7-4
joyce77171,1033.0,155.0,2021-12-11 05:19:41,BELLAVITA 寶麗廣塲,"(None, None)",https://www.instagram.com/p/CXVKFOOLcsT,https://instagram.ftpe7-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/266681800_639325873761142_7354310580908432307_n.jpg?_nc_ht=instagram.ftpe7-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=X53i5G_AorQAX_ouxlv&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT9ks5wdaezW-ZAA34bqhG_WDkZnVXs8KQJzp3QHzo8SgA&oe=61BBB118&_nc_sid=83d603
wantin128,465.0,114.0,2021-12-10 12:09:51,BELLAVITA,"(None, None)",https://www.instagram.com/p/CXTUOjZvdRP,https://instagram.ftpe7-4.fna.fbcdn.net/v/t51.2885-15/e35/264976125_106108968592047_7909469493018793697_n.jpg?_nc_ht=instagram.ftpe7-4.fna.fbcdn.net&_nc_cat=103&_nc_ohc=AO3Y-XOjcRcAX-mGPMH&edm=ABZsPhsBAAAA&ccb=7-4&oh=0404bee35808410a75cd936a1ccbf912&oe=61BD46B4&_nc_sid=4efc9f&ig_cache_key=MjcyNTYxMTE2MDUwNTAxMzMyNw%3D%3D.2-ccb7-4
